role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
train,200052,reject,arena+ref_contact,4.317,5.143,14.722,7.653,1.169,5.046,1.266,0.0,0.0
train,200053,reject,arena,4.286,4.444,14.737,5.282,1.01,4.328,1.148,0.0,0.036
train,200054,reject,frame_crossing+arena+ref_contact,4.86,6.506,14.646,8.801,1.479,7.186,1.47,1.0,0.0
train,200055,reject,frame_crossing+arena+ref_contact,4.789,6.445,14.738,6.377,1.465,7.015,1.015,2.0,0.0
train,200056,reject,frame_crossing+ref_contact,4.604,5.392,14.711,7.107,1.225,5.642,1.148,2.0,0.0
train,200057,reject,arena,4.792,4.779,14.675,5.664,1.086,5.206,1.118,0.0,0.036
train,200058,reject,frame_crossing+arena+ref_contact,4.145,4.643,14.754,5.868,1.055,4.374,1.077,1.0,0.0
train,200059,reject,frame_crossing+ref_contact,4.865,4.87,14.638,7.247,1.107,5.384,1.436,3.0,0.0
train,200060,reject,frame_crossing+arena+ref_contact,4.658,5.374,14.751,7.964,1.221,5.69,1.921,3.0,0.0
train,200061,reject,frame_crossing+arena+ref_contact,4.773,4.582,14.716,8.316,1.041,4.97,1.128,1.0,0.0
train,200062,reject,arena,4.632,6.136,14.668,7.126,1.395,6.46,1.571,0.0,0.037
train,200063,reject,frame_crossing+arena+ref_contact,4.569,4.502,14.689,7.951,1.023,4.674,1.063,1.0,0.0
train,200064,reject,arena,4.218,5.146,14.609,6.726,1.17,4.934,1.348,0.0,0.037
train,200065,reject,frame_crossing+arena+ref_contact,4.708,5.929,14.606,7.125,1.348,6.344,1.928,2.0,0.0
train,200066,reject,frame_crossing+arena+ref_contact,5.325,4.92,14.728,9.97,1.118,5.953,2.167,2.0,0.0
train,200067,reject,frame_crossing+arena+ref_contact,3.999,3.588,14.672,7.001,1.0,3.999,1.133,1.0,0.0
train,200068,reject,frame_crossing+ref_contact,4.666,5.355,14.737,7.147,1.217,5.679,1.436,1.0,0.0
train,200069,reject,frame_crossing+arena+ref_contact,4.609,3.879,14.594,5.754,1.0,4.609,1.263,1.0,0.0
train,200070,reject,arena+frame_margin,4.507,5.673,14.635,5.94,1.289,5.811,1.205,0.0,0.006
train,200071,reject,arena+ref_contact,4.466,5.354,14.572,6.973,1.217,5.434,1.047,0.0,0.0
train,200072,reject,frame_crossing+arena+ref_contact,4.444,5.645,14.567,6.941,1.283,5.701,1.951,1.0,0.0
train,200073,reject,frame_crossing+arena+ref_contact,4.188,4.895,14.693,10.13,1.112,4.659,1.263,1.0,0.0
train,200074,reject,frame_crossing+arena+ref_contact,4.66,4.185,14.678,7.675,1.0,4.66,1.253,2.0,0.0
train,200075,reject,frame_crossing+arena+ref_contact,4.649,4.998,14.615,7.018,1.136,5.281,1.249,1.0,0.0
train,200076,reject,frame_crossing+arena+ref_contact,5.106,5.886,14.719,9.873,1.338,6.83,1.053,1.0,0.0
train,200077,reject,frame_crossing+arena+ref_contact,4.853,5.484,14.598,7.773,1.246,6.049,1.058,4.0,0.0
train,200078,reject,frame_crossing+arena+ref_contact,4.812,6.524,14.618,9.148,1.483,7.135,1.56,1.0,0.0
train,200079,reject,frame_crossing+arena+ref_contact,4.557,5.793,14.715,10.166,1.317,5.999,2.075,3.0,0.0
train,200080,reject,arena+frame_margin,4.505,4.956,14.7,7.298,1.126,5.074,1.488,0.0,0.003
train,200081,reject,frame_crossing+arena+frame_margin,4.319,5.85,14.779,9.772,1.33,5.742,1.13,1.0,0.005
train,200082,reject,frame_crossing+arena+ref_contact,3.962,5.393,14.763,6.583,1.226,4.857,1.547,1.0,0.0
train,200083,pass,,3.897,3.919,14.771,6.968,1.0,3.897,1.564,0.0,0.044
train,200084,reject,ref_contact,4.181,5.077,14.768,8.089,1.154,4.825,1.362,0.0,0.0
train,200085,reject,frame_crossing+arena+ref_contact,4.285,5.324,14.79,8.309,1.21,5.184,1.103,1.0,0.0
train,200086,reject,frame_crossing+ref_contact,4.195,4.52,14.721,6.711,1.027,4.309,1.4,1.0,0.0
train,200087,reject,frame_crossing+arena+ref_contact,4.453,4.965,14.628,8.152,1.129,5.025,1.13,1.0,0.0
train,200088,reject,frame_crossing+ref_contact,4.539,4.589,14.745,9.468,1.043,4.734,1.047,1.0,0.0
train,200089,reject,frame_crossing+arena+ref_contact,4.692,6.129,14.757,7.096,1.393,6.535,1.133,1.0,0.0
train,200090,reject,arena+frame_margin,4.687,5.223,14.639,6.654,1.187,5.564,1.103,0.0,0.02
train,200091,reject,frame_crossing+arena+ref_contact,4.08,4.54,14.745,8.519,1.032,4.21,1.596,2.0,0.0
train,200092,reject,frame_crossing+arena+ref_contact,4.684,6.595,14.664,9.148,1.499,7.02,1.547,2.0,0.0
train,200093,reject,frame_crossing+arena+ref_contact,4.622,5.233,14.643,10.33,1.189,5.496,2.051,1.0,0.0
train,200094,reject,frame_crossing+arena+ref_contact,4.373,5.895,14.716,9.883,1.34,5.859,1.793,1.0,0.0
train,200095,reject,frame_crossing+arena+ref_contact,4.506,5.349,14.756,10.767,1.216,5.478,1.37,3.0,0.0
train,200096,reject,arena+frame_margin,4.694,5.802,14.442,6.878,1.319,6.189,1.109,0.0,0.027
train,200097,reject,arena+frame_margin,4.188,4.136,14.616,6.656,1.0,4.188,1.204,0.0,0.004
train,200098,reject,frame_margin,4.078,4.961,14.728,5.476,1.127,4.597,1.072,0.0,0.018
train,200099,reject,arena+frame_margin,4.449,6.013,14.702,5.896,1.367,6.08,1.844,0.0,0.004
train,200100,reject,frame_crossing+arena+ref_contact,4.878,4.856,14.75,6.503,1.104,5.384,1.047,2.0,0.0
train,200101,reject,frame_crossing+arena+ref_contact,4.199,6.509,14.662,6.222,1.479,6.212,1.301,2.0,0.0
train,200102,reject,frame_crossing+arena+ref_contact,4.929,5.211,14.745,9.11,1.184,5.837,1.133,3.0,0.0
train,200103,reject,frame_margin,4.145,5.306,14.669,5.361,1.206,4.999,1.694,0.0,0.026
train,200104,reject,frame_crossing+arena+ref_contact,4.093,5.844,14.649,5.714,1.328,5.436,1.249,2.0,0.0
train,200105,reject,frame_crossing+arena+ref_contact,4.554,5.82,14.672,6.086,1.323,6.024,2.298,2.0,0.0
train,200106,reject,frame_crossing+arena+ref_contact,4.953,5.234,14.667,8.399,1.19,5.892,2.054,3.0,0.0
train,200107,reject,frame_crossing+ref_contact,4.352,4.314,14.693,6.166,1.0,4.352,1.035,1.0,0.0
train,200108,reject,arena+frame_margin,5.198,5.796,14.654,6.62,1.317,6.847,1.663,0.0,0.009
train,200109,reject,frame_crossing+arena+ref_contact,4.02,5.579,14.635,7.317,1.268,5.097,1.077,2.0,0.0
