role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
study,1255,reject,arena,4.322,4.002,14.69,6.226,1.0,4.322,1.271,0.0,0.04
study,1256,reject,arena,4.338,4.373,14.601,4.409,1.0,4.338,1.779,0.0,0.037
study,1257,reject,frame_crossing+arena,4.201,4.432,14.778,6.968,1.007,4.232,1.043,1.0,0.033
study,1258,reject,frame_crossing+ref_contact,4.509,5.67,14.74,5.985,1.289,5.811,1.073,2.0,0.0
study,1259,reject,arena+frame_margin,4.824,5.726,14.703,8.483,1.301,6.278,1.779,0.0,0.008
study,1260,reject,frame_crossing+arena+ref_contact,4.912,5.882,14.686,6.485,1.337,6.566,1.253,2.0,0.0
study,1261,reject,frame_crossing+ref_contact,5.165,5.901,14.661,7.522,1.341,6.926,1.477,2.0,0.0
study,1262,reject,frame_crossing+arena+ref_contact,4.928,5.326,14.695,8.81,1.21,5.964,1.245,3.0,0.0
study,1263,reject,frame_crossing+arena+ref_contact,4.585,4.33,14.704,10.216,1.0,4.585,1.035,2.0,0.0
study,1264,reject,frame_crossing+arena+ref_contact,4.081,5.017,14.687,8.305,1.14,4.653,1.671,2.0,0.0
study,1265,reject,frame_crossing+arena+ref_contact,4.879,6.243,14.678,8.772,1.419,6.922,1.543,2.0,0.0
study,1266,reject,frame_crossing+arena+ref_contact,5.133,6.573,14.658,6.948,1.494,7.667,2.134,1.0,0.0
study,1267,reject,frame_crossing+arena+ref_contact,4.624,5.496,14.693,8.325,1.249,5.775,1.274,3.0,0.0
study,1268,reject,arena,4.356,4.95,14.784,7.982,1.125,4.901,1.921,0.0,0.039
study,1269,reject,arena,3.767,4.627,14.696,5.188,1.052,3.962,1.176,0.0,0.057
study,1270,reject,frame_crossing+arena+ref_contact,4.425,5.431,14.686,6.661,1.234,5.462,1.035,1.0,0.0
study,1271,reject,arena+frame_margin,5.164,5.726,14.641,8.48,1.301,6.72,2.037,0.0,0.017
study,1272,reject,frame_crossing+arena+ref_contact,4.658,4.412,14.69,6.389,1.003,4.67,1.263,2.0,0.0
study,1273,reject,frame_crossing+arena+ref_contact,4.453,5.272,14.651,10.234,1.198,5.336,1.481,1.0,0.0
study,1274,reject,arena,4.754,4.921,14.73,9.751,1.118,5.316,1.898,0.0,0.036
study,1275,reject,frame_crossing+arena+ref_contact,3.983,4.814,14.7,6.374,1.094,4.358,1.626,1.0,0.0
study,1276,reject,frame_crossing+ref_contact,4.731,5.349,14.787,8.443,1.216,5.752,2.164,3.0,0.0
study,1277,reject,frame_crossing+arena+ref_contact,4.94,5.73,14.741,8.52,1.302,6.432,1.133,1.0,0.0
study,1278,reject,frame_crossing+arena+ref_contact,4.32,5.082,14.644,8.667,1.155,4.99,1.181,1.0,0.0
study,1279,reject,arena,4.399,4.528,14.772,5.596,1.029,4.527,1.172,0.0,0.04
study,1280,reject,frame_crossing+arena+ref_contact,4.121,5.486,14.683,6.207,1.247,5.138,1.363,1.0,0.0
study,1281,reject,arena,4.233,5.171,14.779,8.404,1.175,4.975,1.35,0.0,0.041
study,1282,reject,frame_crossing+arena+ref_contact,4.878,6.097,14.631,6.42,1.386,6.76,1.204,4.0,0.0
study,1283,reject,frame_crossing+arena+ref_contact,4.257,5.288,14.634,7.26,1.202,5.116,1.789,1.0,0.0
study,1284,reject,frame_crossing+arena+ref_contact,4.994,6.211,14.607,8.716,1.412,7.05,1.204,2.0,0.0
study,1285,reject,frame_crossing+arena+ref_contact,4.114,4.904,14.71,8.48,1.115,4.585,1.553,1.0,0.0
study,1286,reject,frame_crossing+arena+ref_contact,4.452,6.004,14.724,6.703,1.365,6.076,1.396,1.0,0.0
study,1287,reject,arena+ref_contact,4.503,5.289,14.693,7.132,1.202,5.413,1.795,0.0,0.0
study,1288,reject,frame_crossing+arena+ref_contact,4.875,5.213,14.706,9.726,1.185,5.776,1.204,2.0,0.0
study,1289,reject,frame_crossing+arena+ref_contact,4.149,5.609,14.662,6.519,1.275,5.29,1.172,1.0,0.0
study,1290,reject,frame_crossing+arena+ref_contact,4.355,4.347,14.723,7.521,1.0,4.355,1.71,1.0,0.0
study,1291,reject,frame_crossing+ref_contact,4.52,4.61,14.729,5.792,1.048,4.736,1.063,1.0,0.0
study,1292,reject,frame_crossing+arena+ref_contact,4.51,5.175,14.662,10.235,1.176,5.304,2.049,1.0,0.0
study,1293,reject,frame_crossing+arena+ref_contact,4.584,6.09,14.638,9.587,1.384,6.345,1.506,2.0,0.0
study,1294,reject,frame_crossing+arena+ref_contact,4.373,5.203,14.692,8.242,1.183,5.172,1.172,3.0,0.0
study,1295,reject,frame_crossing+arena+ref_contact,4.922,5.907,14.554,9.544,1.343,6.608,1.747,2.0,0.0
study,1296,reject,frame_crossing+arena+ref_contact,4.465,5.482,14.466,7.03,1.246,5.562,1.015,2.0,0.0
study,1297,reject,arena,4.805,5.301,14.692,7.081,1.205,5.789,1.772,0.0,0.036
study,1298,reject,frame_crossing+arena+ref_contact,4.546,5.155,14.714,6.69,1.172,5.327,1.162,2.0,0.0
